2017-18 Class Size by Gender and Selected Population ,,,,,,,,,
School Name,School Code,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %
Seven Hills Charter Public (District) - Seven Hills Charter School,04860105,     222,  24.9,        653,  48.4,  51.6,  29.2,  15.2,58.5
Sharon - Cottage Street,02660005,     174,  19.4,        520,  47.7,  52.3,  10.2,  13.3,4.6
Sharon - East Elementary,02660010,     153,  20.6,        494,  49.4,  50.6,   6.1,  12.3,7.7
Sharon - Heights Elementary,02660015,     155,  21.4,        531,  49.9,  50.1,   6.6,  14.9,6.6
Sharon - Sharon Early Childhood Center,02660001,       4,  14.0,         56,  37.5,  62.5,   3.6,  44.6,12.5
Sharon - Sharon High,02660505,     571,  14.0,"      1,084",  47.2,  52.8,   1.1,  12.1,7
Sharon - Sharon Middle,02660305,     609,  20.1,        885,  48.7,  51.3,   2.8,  12.8,8.4
Shawsheen Valley Regional Vocational Technical - Shawsheen Valley Vocational Technical High School,08710605,     843,  16.8,"      1,327",  41.7,  58.3,   0.0,  21.3,14.1
Sherborn - Pine Hill,02690010,     187,  18.7,        428,  48.4,  51.6,   1.6,  15.4,4.7
Shrewsbury - Beal School,02710005,      69,  18.3,        309,  48.2,  51.8,   5.5,  14.9,11
Shrewsbury - Calvin Coolidge,02710015,      82,  22.5,        409,  51.6,  48.4,   8.6,  14.2,16.1
Shrewsbury - Floral Street School,02710020,     163,  24.2,        746,  48.5,  51.5,   5.9,  12.3,9.1
Shrewsbury - Oak Middle School,02710030,     509,  22.6,"      1,005",  50.1,  49.9,   2.2,  13.6,10.3
Shrewsbury - Parker Road Preschool,02710040,      18,  15.3,        271,  46.5,  53.5,  11.4,  35.8,13.7
Shrewsbury - Sherwood Middle School,02710305,     613,  22.1,        960,  47.5,  52.5,   1.5,  14.5,10.2
Shrewsbury - Shrewsbury Sr High,02710505,     946,  17.7,"      1,846",  53.3,  46.5,   2.7,   9.5,9.3
Shrewsbury - Spring Street,02710035,      73,  21.5,        355,  49.0,  51.0,   2.8,  13.0,3.4
Shrewsbury - Walter J Paton,02710025,      73,  22.2,        350,  44.6,  55.4,   2.0,  17.7,4.6
Shutesbury - Shutesbury Elementary,02720005,      60,  13.9,        125,  56.0,  44.0,   0.0,  16.8,32
Silver Hill Horace Mann Charter (District) - Silver Hill Horace Mann Charter School,04770010,     226,  22.1,        553,  50.5,  49.5,   6.7,  17.4,28.4
Silver Lake - Silver Lake Regional High,07600505,     481,  19.6,"      1,334",  48.0,  52.0,   0.1,  15.7,15.7
Silver Lake - Silver Lake Regional Middle School,07600405,     304,  18.3,        542,  46.9,  53.1,   0.6,  15.5,16.4
Sizer School: A North Central Charter Essential (District) - Sizer School: A North Central Charter Essential School,04740505,     229,  12.8,        360,  48.9,  51.1,   1.1,  24.4,31.7
Somerset - Chace Street,02730005,     172,  23.2,        430,  45.3,  54.7,   1.9,  27.2,26.3
Somerset - North Elementary,02730008,     261,  20.3,        488,  49.2,  50.8,   0.6,  12.5,19.7
Somerset - Somerset Middle School,02730305,     348,  21.1,        626,  47.1,  52.9,   0.5,  15.5,18.8
Somerset - South,02730015,     130,  23.4,        281,  53.0,  47.0,   2.5,  10.7,26
Somerset Berkley Regional School District - Somerset Berkley Regional High School,07630505,     536,  15.5,"      1,012",  50.9,  49.1,   0.1,   9.9,13.5
Somerville - Albert F. Argenziano School at Lincoln Park,02740087,     170,  20.7,        606,  47.9,  52.1,  29.9,  12.5,34.2
Somerville - Arthur D Healey,02740075,     177,  15.1,        441,  49.9,  50.1,  24.5,  25.4,50.1
Somerville - Benjamin G Brown,02740015,      62,  19.6,        232,  52.6,  47.4,   2.2,  12.1,13.8
Somerville - Capuano Early Childhood Center,02740005,      47,  14.3,        326,  45.7,  54.3,  44.5,  26.1,35.9
Somerville - E Somerville Community,02740111,     226,  19.1,        703,  49.8,  50.2,  33.0,  17.9,51.1
Somerville - Full Circle High School,02740510,     202,   6.3,         68,  38.2,  61.8,   4.4,  66.2,67.6
Somerville - John F Kennedy,02740083,     155,  19.1,        449,  45.4,  54.6,   1.1,  23.4,29
Somerville - Next Wave Junior High,02740410,      89,   5.4,         22,  13.6,  86.4,   4.5,  63.6,63.6
Somerville - Somerville High,02740505,     641,  14.6,"      1,213",  45.1,  54.8,  13.8,  15.7,38.9
Somerville - West Somerville Neighborhood,02740115,     117,  18.7,        360,  47.5,  52.2,   4.2,  19.2,39.2
Somerville - Winter Hill Community,02740120,     170,  17.7,        468,  41.5,  58.3,  37.0,  29.1,53.6
South Hadley - Michael E. Smith Middle School,02780305,     312,  16.0,        590,  52.2,  47.8,   5.1,  16.6,26.1
South Hadley - Mosier,02780020,      77,  21.7,        420,  46.9,  53.1,   6.0,  16.7,24.5
South Hadley - Plains Elementary,02780015,      30,  21.3,        370,  53.2,  46.8,   5.7,  16.8,29.2
South Hadley - South Hadley High,02780505,     254,  14.6,        555,  49.5,  50.5,   1.4,  13.0,19.5
South Middlesex Regional Vocational Technical - Joseph P Keefe Technical High School,08290605,     464,  13.7,        719,  40.9,  59.1,   9.7,  41.9,38.5
South Shore Charter Public (District) - South Shore Charter Public School,04880550,     459,  18.1,        913,  50.8,  49.2,  14.1,  16.5,15.8
South Shore Regional Vocational Technical - So Shore Vocational Technical High,08730605,     444,  14.0,        638,  33.4,  66.6,   0.0,  31.5,22.4
Southampton - William E Norris,02750005,     185,  18.3,        515,  48.2,  51.8,   2.1,  21.2,12
Southborough - Albert S. Woodward Memorial School,02760050,      63,  17.4,        262,  46.9,  53.1,   6.9,  13.4,2.3
Southborough - Margaret A Neary,02760020,      60,  20.1,        261,  52.1,  47.9,   6.5,  10.3,4.6
Southborough - Mary E Finn School,02760008,      68,  16.2,        353,  49.3,  50.7,   6.8,  24.6,7.1
Southborough - P Brent Trottier,02760305,     290,  16.1,        457,  48.8,  51.2,   3.7,  14.0,3.1
Southbridge - Charlton Street,02770005,     199,  17.2,        307,  47.9,  52.1,  25.7,  15.3,68.1
Southbridge - Eastford Road,02770010,      74,  19.1,        404,  54.5,  45.5,  22.0,  20.0,74.5
Southbridge - Southbridge High School,02770515,     262,  16.5,        556,  48.0,  52.0,  26.8,  23.4,64.6
Southbridge - Southbridge Middle School,02770315,     283,  17.9,        538,  45.4,  54.6,  26.0,  18.8,67.5
Southbridge - West Street,02770020,     201,  20.2,        367,  49.9,  50.1,  34.1,  20.2,69.8
Southeastern Regional Vocational Technical - Southeastern Regional Vocational Technical,08720605,     719,  15.7,"      1,415",  48.6,  51.4,   1.1,  15.3,34.1
Southern Berkshire - Mt Everett Regional,07650505,     251,  10.9,        310,  51.0,  49.0,   0.0,  17.7,31.6
Southern Berkshire - New Marlborough Central,07650018,      68,  14.4,         88,  47.7,  52.3,   0.0,   3.4,22.7
Southern Berkshire - Undermountain,07650035,     187,  17.1,        296,  45.3,  54.7,   4.1,  13.5,35.8
Southern Worcester County Regional Vocational Technical - Bay Path Regional Vocational Technical High School,08760605,     955,  14.0,"      1,110",  41.1,  58.9,   0.2,  13.0,21.7
Southwick-Tolland-Granville Regional School District - Powder Mill School,07660315,     218,  20.3,        443,  50.6,  49.4,   3.6,  16.7,25.1
Southwick-Tolland-Granville Regional School District - Southwick Regional School,07660505,     463,  14.1,        721,  49.7,  50.3,   0.8,  14.8,14.6
Southwick-Tolland-Granville Regional School District - Woodland School,07660010,     270,  14.0,        364,  45.6,  54.4,   3.6,  18.7,28.3
Spencer-E Brookfield - David Prouty High,07670505,     242,  12.6,        316,  48.1,  51.9,   2.8,  17.4,33.9
Spencer-E Brookfield - East Brookfield Elementary,07670008,      57,  20.5,        251,  44.2,  55.8,   1.6,  29.5,28.3
Spencer-E Brookfield - Knox Trail Middle School,07670415,     187,  17.2,        442,  44.6,  55.4,   3.2,  22.9,36.9
Spencer-E Brookfield - Wire Village School,07670040,      96,  18.7,        449,  48.3,  51.4,   5.3,  23.6,38.5
Springfield - Alfred G. Zanetti Montessori Magnet School,02810095,     237,  17.8,        441,  53.3,  46.7,   3.9,   6.6,34
Springfield - Alice B Beal Elementary,02810175,     177,  18.2,        289,  51.2,  48.8,  18.0,  15.9,64.7
Springfield - Arthur T Talmadge,02810165,     198,  16.3,        256,  46.5,  53.5,   6.6,  17.2,78.5
Springfield - Balliet Middle School,02810360,      40,  12.8,         85,  40.0,  60.0,   8.2,  32.9,89.4
Springfield - Brightwood,02810025,     217,  20.9,        376,  50.5,  49.5,  26.3,  19.9,92.8
Springfield - Chestnut Academy,02810365,     236,  16.7,        445,  48.1,  51.9,  27.9,  27.6,87
Springfield - Chestnut Accelerated Middle School (Talented and Gifted),02810367,     186,  16.9,        321,  53.9,  46.1,   6.5,  21.5,66.4
Springfield - Conservatory of the Arts,02810475,     198,  12.4,        355,  69.0,  31.0,  13.2,  20.3,74.6
Springfield - Daniel B Brunton,02810035,     283,  20.9,        472,  51.7,  48.3,  15.7,  18.0,76.9
Springfield - Early Childhood Education Center,02810001,      20,  11.2,        218,  37.6,  62.4,  17.9,  56.4,81.2
Springfield - Edward P. Boland School,02810010,     388,  20.1,        875,  43.4,  56.6,  27.0,  33.6,82.3
Springfield - Elias Brookings,02810030,     218,  19.7,        395,  47.1,  52.9,  20.3,  33.7,81.8
Springfield - Forest Park Middle,02810325,     341,  16.8,        806,  49.5,  50.5,  24.2,  22.1,78.3
Springfield - Frank H Freedman,02810075,     168,  27.9,        380,  46.1,  53.9,  15.0,  17.6,71.8
Springfield - Frederick Harris,02810080,     368,  21.3,        695,  49.6,  50.4,  16.4,  21.0,69.4
Springfield - Gateway to College at Holyoke Community College,02810575,       3,   9.3,         14,  71.4,  28.6,   7.1,   7.1,78.6
Springfield - Gateway to College at Springfield Technical Community College,02810580,       3,  17.0,         30,  56.7,  43.3,   6.7,  10.0,76.7
Springfield - German Gerena Community School,02810195,     464,  17.2,        786,  52.5,  47.5,  23.9,  21.9,79.8
Springfield - Glenwood,02810065,     197,  21.9,        336,  45.2,  54.8,  14.9,  17.9,72.9
Springfield - Glickman Elementary,02810068,     244,  19.3,        361,  47.1,  52.9,  18.8,  36.6,74.8
Springfield - High School Of Commerce,02810510,     785,  14.2,"      1,185",  48.7,  51.3,  28.6,  23.5,76.1
Springfield - Hiram L Dorman,02810050,     202,  20.9,        320,  48.8,  51.3,  16.3,  20.9,80
Springfield - Homer Street,02810085,     243,  24.6,        465,  48.6,  51.4,  22.4,  14.6,82.8
Springfield - Impact Prep at Chestnut,02810366,     111,  20.7,        259,  51.4,  48.6,  27.4,  22.4,90.3
Springfield - Indian Orchard Elementary,02810100,     387,  21.4,        747,  45.5,  54.5,  16.1,  26.0,78.8
Springfield - John F Kennedy Middle,02810328,     157,  19.4,        495,  45.1,  54.9,  16.6,  24.0,82.4
Springfield - John J Duggan Middle,02810320,     576,  14.4,        812,  44.7,  55.3,  12.7,  23.8,68.8
Springfield - Kensington International School,02810110,     184,  23.4,        364,  50.5,  49.5,  26.6,  17.0,81.6
Springfield - Liberty,02810115,     173,  21.9,        307,  51.5,  48.5,  26.7,  14.0,75.9
Springfield - Liberty Preparatory Academy,02810560,      15,   4.1,         12,  16.7,  83.3,   8.3,  16.7,83.3
Springfield - Lincoln,02810120,     228,  25.9,        439,  46.2,  53.8,  31.9,  13.9,87.7
Springfield - M Marcus Kiley Middle,02810330,     337,  22.0,        744,  44.6,  55.4,  16.0,  21.4,77.4
Springfield - Margaret C Ells,02810060,      65,  11.0,        312,  38.1,  61.9,   9.0,  50.6,71.8
Springfield - Mary A. Dryden Veterans Memorial School,02810125,     182,  23.7,        396,  50.0,  50.0,  10.9,  18.4,62.4
Springfield - Mary M Lynch,02810140,     174,  19.4,        277,  53.1,  46.9,  10.5,  14.4,79.1
Springfield - Mary M Walsh,02810155,     198,  21.1,        321,  47.0,  53.0,  27.4,  21.8,77.9
Springfield - Mary O Pottenger,02810145,     245,  24.5,        485,  48.2,  51.8,  18.1,  19.2,68.9
Springfield - Milton Bradley School,02810023,     341,  20.6,        658,  48.8,  51.2,  23.4,  26.1,89.7
Springfield - Rebecca M Johnson,02810055,     421,  22.7,        900,  48.2,  51.8,  17.9,  27.9,87
Springfield - Rise Academy at Van Sickle,02810480,      53,  22.1,        224,  45.5,  54.5,  27.2,  21.4,81.3
Springfield - Roger L. Putnam Vocational Technical Academy,02810620,     950,  13.3,"      1,435",  53.9,  46.1,   8.6,  15.3,66.1
Springfield - STEM Middle Academy,02810350,     134,  19.3,        297,  38.7,  61.3,   4.0,  14.1,66.3
Springfield - Samuel Bowles,02810020,     228,  20.3,        366,  52.5,  47.5,  14.2,  16.7,71.9
Springfield - South End Middle School,02810355,     154,  13.6,        272,  51.5,  48.5,  25.4,  16.2,88.6
Springfield - Springfield Central High,02810500,     926,  17.8,"      2,056",  46.8,  53.2,  14.4,  15.7,63.7
Springfield - Springfield High School,02810570,     106,   8.6,        235,  43.0,  57.0,  11.5,  31.5,77.4
Springfield - Springfield High School of Science and Technology,02810530,     715,  17.7,"      1,354",  42.3,  57.7,  23.0,  21.5,77
Springfield - Springfield Public Day Elementary School,02810005,     153,   8.8,         93,  15.1,  84.9,  14.0,  88.2,83.9
Springfield - Springfield Public Day High School,02810550,      90,   7.4,        101,  27.7,  72.3,  12.9,  97.0,82.2
Springfield - Springfield Public Day Middle School,02810345,      84,   5.1,         69,  15.9,  84.1,  10.1,  97.1,97.1
Springfield - Springfield Vocational Academy,02810675,      34,   7.9,         76,  44.7,  55.3,   0.0, 100.0,72.4
Springfield - Sumner Avenue,02810160,     380,  18.4,        647,  44.8,  55.2,  22.3,  30.3,77.4
Springfield - The Springfield Renaissance School an Expeditionary Learning School,02810205,     333,  17.0,        706,  48.2,  51.8,   4.1,  17.6,51.8
Springfield - Thomas M Balliet,02810015,     158,  24.3,        361,  49.9,  50.1,   8.9,  23.3,70.1
Springfield - Van Sickle Academy,02810485,     248,  13.4,        438,  45.7,  54.3,  18.0,  25.3,73.1
Springfield - Warner,02810180,     170,  21.0,        317,  50.2,  49.8,  14.2,  13.9,67.8
Springfield - Washington,02810185,     252,  20.1,        482,  46.3,  53.7,  24.5,  17.8,76.3
Springfield - White Street,02810190,     228,  26.7,        492,  50.8,  49.2,  19.5,  16.9,81.9
Springfield - William N. DeBerry,02810045,     188,  20.4,        292,  43.8,  56.2,  27.7,  30.1,87.7
Springfield Preparatory Charter School (District) - Springfield Preparatory Charter School,35100205,      53,  30.4,        214,  49.1,  50.9,  22.9,  18.2,67.8
Stoneham - Colonial Park,02840005,      91,  21.7,        283,  43.1,  56.9,   4.6,  27.9,12
Stoneham - Robin Hood,02840025,     124,  22.4,        388,  49.0,  51.0,   7.0,  25.3,20.4
Stoneham - South,02840030,     120,  21.1,        317,  50.8,  49.2,   7.3,  17.4,21.8
Stoneham - Stoneham Central Middle School,02840405,     517,  16.0,        696,  51.6,  48.4,   2.6,  19.1,16.1
Stoneham - Stoneham High,02840505,     380,  15.9,        682,  53.4,  46.6,   2.2,  14.5,14.2
Stoughton - Edwin A Jones Early Childhood Center,02850012,       9,  13.4,        115,  44.3,  55.7,   1.7,  47.0,21.7
Stoughton - Helen Hansen Elementary,02850010,     155,  12.0,        227,  52.4,  47.6,   5.3,  19.4,25.6
Stoughton - Joseph H Gibbons,02850025,     179,  16.3,        354,  50.8,  49.2,   4.8,  16.1,24.3
Stoughton - Joseph R Dawe Jr Elementary,02850014,     187,  15.4,        350,  46.9,  53.1,   4.6,  17.7,26.6
Stoughton - O'Donnell Middle School,02850405,     506,  18.7,        841,  44.9,  55.1,   4.0,  15.6,26.9
Stoughton - South Elementary,02850015,     125,  16.9,        254,  49.6,  50.4,   4.3,  12.2,26
Stoughton - Stoughton High,02850505,     705,  17.6,"      1,139",  48.4,  51.6,   3.2,  12.9,25.5
Stoughton - West Elementary,02850020,     148,  19.2,        378,  49.7,  50.3,  23.0,  13.2,47.9
Sturbridge - Burgess Elementary,02870005,     236,  23.0,        902,  44.1,  55.9,   0.7,  12.7,15.6
Sturgis Charter Public (District) - Sturgis Charter Public School,04890505,     518,  14.3,        823,  57.6,  42.4,   0.1,  13.5,13.5
Sudbury - Ephraim Curtis Middle,02880305,     591,  19.6,        942,  49.3,  50.7,   0.3,  16.8,4.7
Sudbury - General John Nixon Elementary,02880025,      96,  20.1,        346,  47.4,  52.6,   3.8,  15.9,7.8
Sudbury - Israel Loring School,02880015,     121,  21.1,        465,  46.0,  54.0,   1.7,  14.2,8.8
Sudbury - Josiah Haynes,02880010,     108,  19.8,        384,  46.4,  53.6,   1.3,  14.3,3.6
Sudbury - Peter Noyes,02880030,     138,  20.4,        572,  48.4,  51.6,   2.6,  20.6,3.3
Sunderland - Sunderland Elementary,02890005,     169,  17.5,        236,  41.9,  58.1,   7.6,  22.9,30.9
Sutton - Sutton Early Learning,02900003,      56,  22.1,        325,  51.4,  48.6,   3.1,  24.9,10.5
Sutton - Sutton Elementary,02900005,     117,  22.0,        326,  49.4,  50.6,   1.5,  22.7,10.1
Sutton - Sutton High School,02900510,     179,  15.5,        403,  51.9,  48.1,   0.0,   6.5,8.2
Sutton - Sutton Middle School,02900305,     138,  23.0,        368,  49.2,  50.8,   0.8,  14.1,9.2
Swampscott - Clarke,02910005,      98,  15.8,        193,  45.1,  54.9,  13.0,  21.2,17.1
Swampscott - Hadley,02910010,     120,  19.6,        294,  49.7,  50.3,  10.9,  14.6,20.7
Swampscott - Stanley,02910020,     120,  19.5,        293,  47.8,  52.2,   2.4,  11.6,4.4
Swampscott - Swampscott High,02910505,     421,  13.7,        681,  51.5,  48.5,   0.6,  14.1,15.4
Swampscott - Swampscott Middle,02910305,     550,  16.8,        770,  48.6,  51.4,   3.4,  21.2,14.3
Swansea - Elizabeth S Brown,02920006,     210,  20.6,        282,  51.1,  48.9,   0.0,  10.3,19.9
Swansea - Gardner,02920015,     116,  22.1,        264,  48.9,  51.1,   0.8,   9.1,18.9
Swansea - Joseph Case High,02920505,     268,  13.7,        529,  47.4,  52.6,   0.4,  12.1,16.8
Swansea - Joseph Case Jr High,02920305,     254,  16.8,        520,  46.9,  53.1,   0.0,  11.7,19.6
Swansea - Joseph G Luther,02920020,     186,  18.5,        226,  51.3,  48.7,   0.0,  17.7,16.8
Swansea - Mark G Hoyle Elementary,02920017,     118,  16.3,        265,  47.2,  52.8,   0.0,  23.0,19.2
TEC Connections Academy Commonwealth Virtual School District - TEC Connections Academy Commonwealth Virtual School,39020900,     460,  41.0,"      1,888",  58.2,  41.8,   1.0,  19.8,41.2
Tantasqua - Tantasqua Regional Jr High,07700405,     390,  19.5,        597,  50.3,  49.7,   0.5,  14.2,20.6
Tantasqua - Tantasqua Regional Sr High,07700505,     792,  12.4,"      1,194",  49.2,  50.8,   0.1,   8.6,16.3
Tantasqua - Tantasqua Regional Vocational,07700605,      73,  10.2,        456,  41.7,  58.3,   0.0,  12.9,20.8
Taunton - Benjamin Friedman Middle,02930315,     375,  20.8,        788,  48.4,  51.6,   1.9,  19.4,38.7
Taunton - East Taunton Elementary,02930010,     288,  16.9,        624,  49.8,  50.2,   3.4,  24.4,35.1
Taunton - Edmund Hatch Bennett,02930007,     125,  20.4,        327,  48.9,  51.1,   5.2,  14.1,28.1
Taunton - Edward F. Leddy Preschool,02930005,      21,  18.6,        391,  39.4,  60.6,   5.4,  46.0,45.3
Taunton - Elizabeth Pole,02930027,     251,  18.8,        604,  47.5,  52.5,  11.6,  20.0,55.6
Taunton - H H Galligan,02930057,     101,  18.2,        236,  47.9,  52.1,  14.0,  21.6,64
Taunton - Hopewell,02930035,     117,  18.9,        282,  52.8,  47.2,   4.6,  24.1,58.2
Taunton - John F Parker Middle,02930305,     205,  25.0,        533,  50.8,  49.2,   8.6,  17.4,53.5
Taunton - Joseph C Chamberlain,02930008,     227,  18.2,        527,  49.7,  50.3,   2.7,  21.6,34.7
Taunton - Joseph H Martin,02930042,     345,  21.8,        699,  46.2,  53.8,   2.0,  16.3,42.3
Taunton - Mulcahey Elementary School,02930015,     179,  21.0,        483,  50.7,  49.3,   9.9,  19.0,51.1
Taunton - Taunton Alternative High School,02930525,     134,   8.1,        138,  39.1,  60.9,   0.0,  29.7,67.4
Taunton - Taunton High,02930505,     982,  20.9,"      2,682",  50.4,  49.5,   3.4,  15.6,37.2
Tewksbury - Heath-Brook,02950010,     105,  20.9,        346,  51.2,  48.8,   3.2,  11.3,13.9
Tewksbury - John F. Ryan,02950023,     246,  21.0,        517,  47.4,  52.6,   1.9,  17.4,11.4
Tewksbury - John W. Wynn Middle,02950305,     279,  19.8,        585,  52.6,  47.4,   0.5,  20.5,14.5
Tewksbury - L F Dewing,02950001,     145,  20.1,        624,  47.9,  52.1,   3.4,  22.6,15.7
Tewksbury - Louise Davy Trahan,02950025,     108,  19.4,        233,  55.4,  44.6,   0.4,   9.4,15.9
Tewksbury - North Street,02950020,     120,  20.9,        280,  45.7,  54.3,   2.9,  22.9,16.1
Tewksbury - Tewksbury Memorial High,02950505,     424,  19.1,        921,  48.0,  52.0,   1.4,  12.1,13.1
Tisbury - Tisbury Elementary,02960005,     212,  13.5,        318,  46.5,  53.5,  24.8,  15.7,24.5
Topsfield - Proctor Elementary,02980005,      68,  18.6,        257,  52.5,  47.5,   0.0,  17.5,4.7
Topsfield - Steward Elementary,02980010,      97,  15.8,        384,  49.2,  50.8,   0.5,  16.7,4.4
Tri-County Regional Vocational Technical - Tri-County Regional Vocational Technical,08780605,     573,  16.4,        980,  43.0,  56.8,   0.3,  26.7,18.3
Triton - Newbury Elementary,07730020,     207,  19.0,        458,  46.3,  53.7,   1.1,  18.3,11.1
Triton - Pine Grove,07730025,     199,  20.4,        459,  47.9,  52.1,   1.3,  16.8,14.6
Triton - Salisbury Elementary,07730015,     235,  20.7,        523,  47.8,  52.2,   1.9,  16.3,36.1
Triton - Triton Regional High School,07730505,     362,  13.9,        712,  50.8,  49.2,   0.8,  13.3,14.2
Triton - Triton Regional Middle School,07730405,     209,  21.6,        419,  50.1,  49.9,   1.0,  15.3,20.3
Truro - Truro Central,03000005,      74,  14.8,        106,  55.7,  44.3,   0.0,  17.0,28.3
Tyngsborough - Tyngsborough Elementary,03010020,     372,  21.2,        813,  45.5,  54.5,   3.2,  18.2,13.8
Tyngsborough - Tyngsborough High School,03010505,     382,  16.2,        484,  50.4,  49.6,   0.8,   8.3,7.4
Tyngsborough - Tyngsborough Middle,03010305,     291,  15.9,        417,  49.4,  50.6,   1.2,  19.7,16.1
UP Academy Charter School of Boston (District) - UP Academy Charter School of Boston,04800405,     142,  22.1,        496,  48.6,  51.4,  25.8,  20.6,62.5
UP Academy Charter School of Dorchester (District) - UP Academy Charter School of Dorchester,35050405,     210,  23.9,        750,  49.1,  50.9,  26.5,  19.1,61.5
Up-Island Regional - Chilmark Elementary,07740010,      20,  11.4,         51,  47.1,  52.9,   0.0,  17.6,17.6
Up-Island Regional - West Tisbury Elementary,07740020,     183,  15.4,        347,  44.1,  55.9,   5.5,  26.5,17.9
Upper Cape Cod Regional Vocational Technical - Upper Cape Cod Vocational Technical,08790605,     324,  15.2,        693,  37.5,  62.5,   0.0,  17.3,21.8
Uxbridge - Gateway to College,03040515,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Uxbridge - McCloskey Middle School,03040015,     172,  21.5,        412,  46.1,  53.9,   1.5,  13.3,18
Uxbridge - Taft Early Learning Center,03040005,      99,  21.6,        455,  46.8,  53.2,   2.2,  22.2,22
Uxbridge - Uxbridge High,03040505,     272,  15.7,        482,  45.9,  54.1,   0.8,  16.0,18.3
Uxbridge - Whitin Elementary School,03040020,     102,  22.6,        383,  47.3,  52.7,   1.6,  15.7,19.6
Veritas Preparatory Charter School (District) - Veritas Preparatory Charter School,04980405,      90,  27.7,        308,  52.6,  47.4,   9.7,  23.4,68.2
Wachusett - Central Tree Middle,07750310,     202,  16.3,        372,  50.0,  50.0,   0.3,  17.2,10.2
Wachusett - Chocksett Middle School,07750315,     175,  18.5,        369,  49.6,  50.4,   0.3,  14.6,10
Wachusett - Davis Hill Elementary,07750018,     166,  21.6,        475,  47.4,  52.6,   2.5,  13.3,11.6
Wachusett - Dawson,07750020,     184,  18.6,        489,  49.5,  50.5,   5.7,  12.7,9.4
Wachusett - Early Childhood Center,07750001,       8,  23.4,        187,  43.3,  56.7,   0.0,  46.0,16
Wachusett - Glenwood Elementary School,07750060,     132,  21.5,        345,  50.1,  49.9,   1.4,  16.8,13.3
Wachusett - Houghton Elementary,07750027,     159,  17.3,        371,  46.4,  53.6,   0.5,  17.3,12.1
Wachusett - Leroy E.Mayo,07750032,     174,  19.8,        489,  47.4,  52.6,   3.5,  10.8,9
Wachusett - Mountview Middle,07750305,     346,  21.8,        814,  49.4,  50.6,   1.2,  13.8,9.1
Wachusett - Naquag Elementary School,07750005,     125,  19.9,        347,  52.4,  47.6,   4.0,  11.8,11.5
Wachusett - Paxton Center,07750040,     203,  18.0,        474,  47.5,  52.5,   4.0,  13.3,8
Wachusett - Thomas Prince,07750045,     160,  20.1,        406,  51.7,  48.3,   0.0,  14.8,4.9
Wachusett - Wachusett Regional High,07750505,"   1,136",  17.2,"      2,129",  52.8,  47.1,   0.3,  13.2,7.8
Wakefield - Dolbeare,03050005,     105,  21.2,        446,  48.7,  51.3,   1.8,  13.2,9.4
Wakefield - Early Childhood Center at the Doyle School,03050001,      22,  10.5,        139,  45.3,  54.7,   2.2,  26.6,18.7
Wakefield - Galvin Middle School,03050310,     531,  20.8,"      1,050",  48.6,  51.4,   1.0,  20.6,13.6
Wakefield - Greenwood,03050020,      50,  22.3,        223,  48.9,  51.1,   2.2,  14.8,7.6
Wakefield - Wakefield Memorial High,03050505,     548,  14.6,"      1,030",  52.2,  47.8,   1.0,  15.5,11.1
Wakefield - Walton,03050040,      45,  23.2,        209,  45.9,  54.1,   2.9,  12.0,8.1
Wakefield - Woodville School,03050015,     105,  20.7,        435,  47.8,  52.0,   6.7,  15.2,18.6
Wales - Wales Elementary,03060005,      39,  20.7,        160,  44.4,  55.6,   0.0,  18.8,26.3
Walpole - Bird Middle,03070305,     290,  20.0,        495,  50.1,  49.9,   2.6,  16.0,9.1
Walpole - Boyden,03070010,      74,  19.1,        360,  53.9,  46.1,   6.1,  15.8,11.9
Walpole - Daniel Feeney Preschool Center,03070002,       7,  11.7,         82,  43.9,  56.1,  17.1,  40.2,14.6
Walpole - Eleanor N Johnson Middle,03070310,     246,  21.5,        453,  49.4,  50.6,   0.9,  12.4,7.7
Walpole - Elm Street School,03070005,      84,  20.9,        438,  47.7,  52.3,   4.3,  12.1,9.4
Walpole - Fisher,03070015,      92,  19.7,        453,  46.4,  53.6,   5.1,  14.3,8.4
Walpole - Old Post Road,03070018,      88,  19.2,        423,  50.1,  49.9,   3.5,   7.1,7.1
Walpole - Walpole High,03070505,     476,  17.7,"      1,143",  51.0,  48.9,   1.1,  13.9,9.2
Waltham - Douglas MacArthur Elementary School,03080032,     267,  16.8,        436,  43.1,  56.9,   8.5,  15.1,18.1
Waltham - Henry Whittemore Elementary School,03080065,     280,  17.0,        447,  46.8,  53.2,  54.4,  11.9,49.2
Waltham - James Fitzgerald Elementary School,03080060,     268,  16.9,        438,  50.2,  49.8,  23.5,  13.0,26.9
Waltham - John F Kennedy Middle,03080404,     362,  14.9,        529,  48.4,  51.6,  15.7,  17.4,31.4
Waltham - John W. McDevitt Middle School,03080415,     406,  16.3,        638,  50.8,  49.2,  11.6,  19.7,30.7
Waltham - Northeast Elementary School,03080040,     299,  17.0,        588,  46.8,  53.2,  21.4,  16.8,31.8
Waltham - Thomas R Plympton Elementary School,03080050,     279,  15.9,        426,  47.2,  52.8,  32.9,  15.5,37.8
