office,candidate,party,county,votes
President/Vice President,Jill Stein / Ajamu Baraka,Green,Union,52
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Union,1
President/Vice President,Donald Trump / Mike Pence,Republican,Union,3525
President/Vice President,Total,NA,Union,5885
President/Vice President,Write-In,NA,Union,57
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Union,9
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Union,9
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Van Buren,21
President/Vice President,Under Votes,NA,Van Buren,28
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Van Buren,83
President/Vice President,Over Votes,NA,Van Buren,6
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Van Buren,0
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Van Buren,22
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Van Buren,845
President/Vice President,Jill Stein / Ajamu Baraka,Green,Van Buren,19
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Van Buren,1
President/Vice President,Donald Trump / Mike Pence,Republican,Van Buren,2527
President/Vice President,Total,NA,Van Buren,3595
President/Vice President,Write-In,NA,Van Buren,32
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Van Buren,8
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Van Buren,3
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Wapello,65
President/Vice President,Under Votes,NA,Wapello,100
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Wapello,380
President/Vice President,Over Votes,NA,Wapello,28
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Wapello,1
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Wapello,49
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Wapello,5594
President/Vice President,Jill Stein / Ajamu Baraka,Green,Wapello,122
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Wapello,4
President/Vice President,Donald Trump / Mike Pence,Republican,Wapello,8715
President/Vice President,Total,NA,Wapello,15277
President/Vice President,Write-In,NA,Wapello,144
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Wapello,30
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Wapello,45
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Warren,194
President/Vice President,Under Votes,NA,Warren,192
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Warren,1275
President/Vice President,Over Votes,NA,Warren,15
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Warren,7
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Warren,124
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Warren,10411
President/Vice President,Jill Stein / Ajamu Baraka,Green,Warren,123
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Warren,12
President/Vice President,Donald Trump / Mike Pence,Republican,Warren,14814
President/Vice President,Total,NA,Warren,27507
President/Vice President,Write-In,NA,Warren,295
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Warren,28
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Warren,17
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Washington,92
President/Vice President,Under Votes,NA,Washington,137
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Washington,459
President/Vice President,Over Votes,NA,Washington,26
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Washington,2
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Washington,63
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Washington,3943
President/Vice President,Jill Stein / Ajamu Baraka,Green,Washington,79
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Washington,2
President/Vice President,Donald Trump / Mike Pence,Republican,Washington,6173
President/Vice President,Total,NA,Washington,11092
President/Vice President,Write-In,NA,Washington,96
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Washington,10
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Washington,10
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Wayne,20
President/Vice President,Under Votes,NA,Wayne,42
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Wayne,78
President/Vice President,Over Votes,NA,Wayne,7
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Wayne,0
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Wayne,10
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Wayne,719
President/Vice President,Jill Stein / Ajamu Baraka,Green,Wayne,17
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Wayne,1
President/Vice President,Donald Trump / Mike Pence,Republican,Wayne,2069
President/Vice President,Total,NA,Wayne,2989
President/Vice President,Write-In,NA,Wayne,19
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Wayne,4
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Wayne,3
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Webster,104
President/Vice President,Under Votes,NA,Webster,116
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Webster,569
President/Vice President,Over Votes,NA,Webster,47
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Webster,3
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Webster,65
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Webster,6305
President/Vice President,Jill Stein / Ajamu Baraka,Green,Webster,113
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Webster,5
President/Vice President,Donald Trump / Mike Pence,Republican,Webster,10056
President/Vice President,Total,NA,Webster,17593
President/Vice President,Write-In,NA,Webster,170
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Webster,16
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Webster,24
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Winnebago,49
President/Vice President,Under Votes,NA,Winnebago,57
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Winnebago,218
President/Vice President,Over Votes,NA,Winnebago,20
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Winnebago,1
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Winnebago,36
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Winnebago,1931
President/Vice President,Jill Stein / Ajamu Baraka,Green,Winnebago,34
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Winnebago,7
President/Vice President,Donald Trump / Mike Pence,Republican,Winnebago,3447
President/Vice President,Total,NA,Winnebago,5864
President/Vice President,Write-In,NA,Winnebago,48
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Winnebago,10
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Winnebago,6
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Winneshiek,102
President/Vice President,Under Votes,NA,Winneshiek,126
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Winneshiek,382
President/Vice President,Over Votes,NA,Winneshiek,23
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Winneshiek,0
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Winneshiek,35
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Winneshiek,5254
President/Vice President,Jill Stein / Ajamu Baraka,Green,Winneshiek,99
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Winneshiek,0
President/Vice President,Donald Trump / Mike Pence,Republican,Winneshiek,5344
President/Vice President,Total,NA,Winneshiek,11511
President/Vice President,Write-In,NA,Winneshiek,116
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Winneshiek,17
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Winneshiek,13
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Woodbury,234
President/Vice President,Under Votes,NA,Woodbury,318
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Woodbury,1179
President/Vice President,Over Votes,NA,Woodbury,131
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Woodbury,12
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Woodbury,207
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Woodbury,16210
President/Vice President,Jill Stein / Ajamu Baraka,Green,Woodbury,324
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Woodbury,12
President/Vice President,Donald Trump / Mike Pence,Republican,Woodbury,24727
President/Vice President,Total,NA,Woodbury,44167
President/Vice President,Write-In,NA,Woodbury,569
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Woodbury,93
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Woodbury,151
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Worth,34
President/Vice President,Under Votes,NA,Worth,43
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Worth,165
President/Vice President,Over Votes,NA,Worth,5
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Worth,0
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Worth,15
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Worth,1530
President/Vice President,Jill Stein / Ajamu Baraka,Green,Worth,24
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Worth,1
President/Vice President,Donald Trump / Mike Pence,Republican,Worth,2453
President/Vice President,Total,NA,Worth,4305
President/Vice President,Write-In,NA,Worth,24
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Worth,7
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Worth,4
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Wright,25
President/Vice President,Under Votes,NA,Wright,56
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Wright,176
President/Vice President,Over Votes,NA,Wright,10
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Wright,2
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Wright,19
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Wright,1896
President/Vice President,Jill Stein / Ajamu Baraka,Green,Wright,35
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Wright,1
President/Vice President,Donald Trump / Mike Pence,Republican,Wright,3800
President/Vice President,Total,NA,Wright,6092
President/Vice President,Write-In,NA,Wright,60
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Wright,6
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Wright,6
